seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
1,,,ectd:ectd,file,index.xml,This is the Backbone
2,,,,file,index-md5.txt,The MD5 of the Backbone
3,1,Administrative Information and Prescribing Information,m1-administrative-information-and-prescribing-information,directory,m1,Only one of the regional directories is needed
4,,,,directory,m1/eu,"EU directory: In addition to the appropriate regional documents, the regional xml instance should be located in this folder. Referto regional guidance for details"
5,,,,directory,m1/jp,"Japan directory: In addition to the appropriate regional documents, the regional xml instance should be located in this folder. Refer to regional guidance for details"
6,,,,directory,m1/us,"US directory: In addition to the appropriate regional documents, the regional xml instance should be located in this folder. Refer to regional guidance for details"
7,,,,directory,m1/xx,"xx directory; where xx is a two character country code from ISO-3166-1. In addition to the appropriate regional documents, the regional xml instance should be located in this folder. Refer to regional guidance for details"
8,2,Common Technical Document Summaries,m2-common-technical-document-summaries,directory,m2,
9,2.2,Introduction,m2-2-introduction,directory,m2/22-intro,
10,2.2,Introduction,m2-2-introduction,file,m2/22-intro/introduction.pdf,
11,2.3,Quality Overall Summary,m2-3-quality-overall-summary,directory,m2/23-qos,Refer to the Granularity Annex of the M4 Organisation Document for guidance on the flexibility of multiple documents for the Quality Overall Summary
12,2.3,Introduction,m2-3-introduction,file,m2/23-qos/introduction.pdf,
13,2.3.S,Drug Substance - Name - Manufacturer,m2-3-s-drug-substance,file,m2/23-qos/drug-substance.pdf,"Refer to the Granularity Annex of the M4 Organisation Document for guidance on the flexibility of multiple documents for the Quality Overall Summary Where there are more than one drug substance and/or manufacturer, separate files can be provided for each."
14,2.3.P,Drug Product -Name,m2-3-p-drug-product,file,m2/23-qos/drug-product-name.pdf,"Refer to the Granularity Annex of the M4 Organisation Document for guidance on the flexibility of multiple documents for the Quality Overall Summary Refer to regional guidance for definition of what constitutes a drug product and the acceptability of more than one drug product in an application. Where more than one drug product is acceptable in an application, a separate file can be provided for each drug product."
15,2.3.A,Appendices,m2-3-a-appendices,file,m2/23-qos/appendices.pdf,Refer to the Granularity Annex of the M4 Organisation Document for guidance on the flexibility of multiple documents for the Quality Overall Summary
16,2.3.R,Regional Information,m2-3-r-regional-information,file,m2/23-qos/regional-information.pdf,Refer to the Granularity Annex of the M4 Organisation Document for guidance on the flexibility of multiple documents for the Quality Overall Summary
17,2.4,Nonclinical Overview,m2-4-nonclinical-overview,directory,m2/24-nonclin-over,
18,2.4,Nonclinical Overview,m2-4-nonclinical-overview,file,m2/24-nonclin-over/nonclinical-overview.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
19,2.5,Clinical Overview,m2-5-clinical-overview,directory,m2/25-clin-over,
20,2.5,Clinical Overview,m2-5-clinical-overview,file,m2/25-clin-over/clinical-overview.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
21,2.6,Nonclinical Written and Tabulated Summaries,m2-6-nonclinical-written-and-tabulated-summaries,directory,m2/26-nonclin-sum,
22,2.6.1,Introduction,m2-6-1-introduction,file,m2/26-nonclin-sum/introduction.pdf,
23,2.6.2,Pharmacology Written Summary,m2-6-2-pharmacology-written-summary,file,m2/26-nonclin-sum/pharmacol-written-summary.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
24,2.6.3,Pharmacology Tabulated Summary,m2-6-3-pharmacology-tabulated-summary,file,m2/26-nonclin-sum/pharmacol-tabulated-summary.pdf,Should have further navigation via bookmarks
25,2.6.4,Pharmacokinetics Written Summary,m2-6-4-pharmacokinetics-written-summary,file,m2/26-nonclin-sum/pharmkin-written-summary.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
26,2.6.5,Pharmacokinetics Tabulated Summary,m2-6-5-pharmacokinetics-tabulated-summary,file,m2/26-nonclin-sum/pharmkin-tabulated-summary.pdf,Should have further navigation via bookmarks
27,2.6.6,Toxicology Written Summary,m2-6-6-toxicology-written-summary,file,m2/26-nonclin-sum/toxicology-written-summary.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
28,2.6.7,Toxicology Tabulated Summary,m2-6-7-toxicology-tabulated-summary,file,m2/26-nonclin-sum/toxicology-tabulated-summary.pdf,Should have further navigation via bookmarks
29,2.7,Clinical Summary,m2-7-clinical-summary,directory,m2/27-clin-sum,
30,2.7.1,Summary of Biopharmaceutic Studies and Associated Analytical Methods,m2-7-1-summary-of-biopharmaceutic-studies-and-associated-analytical-methods,file,m2/27-clin-sum/summary-biopharm.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
31,2.7.2,Summary of Clinical Pharmacology Studies,m2-7-2-summary-of-clinical-pharmacology-studies,file,m2/27-clin-sum/summary-clin-pharm.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
32,2.7.3,Summary of Clinical Efficacy – Indication,m2-7-3-summary-of-clinical-efficacy,file,m2/27-clin-sum/summary-clin-efficacy-indication.pdf,"The file name should always include the indication being claimed (abbreviated if appropriate) e.g., 'summary-clin-efficacy-asthma.pdf'. Where there is more than one indication (e.g., asthma & migraine) then the first indication has a file name 'summary-clin-efficacy- asthma.pdf' and the second 'summary-clin-efficacy-migraine.pdf'. Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings. The ‘indication’ attribute in the backbone should be consistent with that used in the filename but can be different. For example, an ‘indication’ attribute value of ‘Non-Small Cell Lung Cancer’ could be expressed as ‘NSCLC’ in the filename for that document (i.e., summclineff-nsclc.pdf). There is currently no standard terminology list for ‘indication’ and applicants should choose these attributes carefully as they can not be easily changed during the life cycle of the application. The only way this can be accomplished currently is to delete all the leaf elements with the incorrect attribute value and provide new leaf elements for those files with the modified attribute value. Applicants should consult with the regional authority before attempting to modify these attributes to discuss the appropriateness of, and approach to be taken for, this type of change."
33,2.7.4,Summary of Clinical Safety,m2-7-4-summary-of-clinical-safety,file,m2/27-clin-sum/summary-clin-safety.pdf,"Typically, this document should consist of a single file. The CTD defines further heading levels and navigation should be provided within the document to these sub-headings."
34,2.7.5,Literature References,m2-7-5-literature-references,file,m2/27-clin-sum/literature-references.pdf,
35,2.7.6,Synopses of Individual Studies,m2-7-6-synopses-of-individual-studies,file,m2/27-clin-sum/synopses-indiv-studies.pdf,"These synopses should already be located in the Clinical Study Reports in Module 5 and should not, therefore, be repeated in Module 2. It is considered sufficient to provide hyperlinks from the listing of the studies, located here, to the locations of the synopses in Module 5."
36,3,Quality,m3-quality,directory,m3,Refer to the Granularity Annex of the M4 Organisation Document for guidance on the flexibility of multiple documents for Module 3
37,3.2,Body of Data,m3-2-body-of-data,directory,m3/32-body-data,
38,3.2.S,Drug Substance,m3-2-s-drug-substance,directory,m3/32-body-data/32s-drug-sub,
39,3.2.S,Drug Substance - Drug Substance Name - Manufacturer,m3-2-s-drug-substance,directory,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1,"In this section, it can be helpful if the folder name includes the name of the drug substanceand manufacturer. This applies particularly when there are multiple drug substances and/or manufacturers. When naming folders, attention should be paid to the length of the name of the folder on the overall length of the full path. Abbreviations can help control the length of the path. The ‘substance’ and ‘manufacturer’ attribute values in the backbone should be consistent with that used in the folder name but can be different. For example, a ‘manufacturer’ attribute value of ‘Company XXX, City Name, Country Name’ could be expressed as ‘xxx’ in the folder name. There is currently no standard terminology list for these attributes and applicants should choose these attributes carefully as they can not be easily changed during the life cycle of the application. The only way this can be accomplished currently is to delete all the leaf elements with the incorrect attribute value and provide new leaf elements for those files with the modified attribute value. Applicants should consult with the regional authority before attempting to modify these attributes to discuss the appropriateness of, and approach to be taken for, this type of change."
40,3.2.S.1,"General Information (name, manufacturer)",m3-2-s-1-general-information,directory,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s1-gen-info,
41,3.2.S.1.1,"Nomenclature (name, manufacturer)",m3-2-s-1-1-nomenclature,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s1-gen-info/nomenclature.pdf,
42,3.2.S.1.2,"Structure (name, manufacturer)",m3-2-s-1-2-structure,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s1-gen-info/structure.pdf,
43,3.2.S.1.3,"General Properties (name, manufacturer)",m3-2-s-1-3-general-properties,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s1-gen-info/general-properties.pdf,
44,3.2.S.2,"Manufacture (name, manufacturer)",m3-2-s-2-manufacture,directory,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf,
45,3.2.S.2.1,"Manufacturer(s) (name, manufacturer)",m3-2-s-2-1-manufacturer,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf/manufacturer.pdf,For this document there should be only information regarding one manufacturer
46,3.2.S.2.2,"Description of Manufacturing Process and Process Controls (name, manufacturer)",m3-2-s-2-2-description-of-manufacturing-process-and-process-controls,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf/manuf-process-and-controls.pdf,
47,3.2.S.2.3,"Control of Materials (name, manufacturer)",m3-2-s-2-3-control-of-materials,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf/control-of-materials.pdf,
48,3.2.S.2.4,"Controls of Critical Steps and Intermediates (name, manufacturer)",m3-2-s-2-4-controls-of-critical-steps-and-intermediates,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf/control-critical-steps.pdf,
49,3.2.S.2.5,"Process Validation and/or Evaluation (name, manufacturer)",m3-2-s-2-5-process-validation-and-or-evaluation,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf/process-validation.pdf,
50,3.2.S.2.6,"Manufacturing Process Development (name, manufacturer)",m3-2-s-2-6-manufacturing-process-development,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s2-manuf/manuf-process-development.pdf,
51,3.2.S.3,"Characterisation (name, manufacturer)",m3-2-s-3-characterisation,directory,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s3-charac,
52,3.2.S.3.1,"Elucidation of Structure and Other Characteristics (name, manufacturer)",m3-2-s-3-1-elucidation-of-structure-and-other-characteristics,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s3-charac/elucidation-of-structure.pdf,
53,3.2.S.3.2,"Impurities (name, manufacturer)",m3-2-s-3-2-impurities,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s3-charac/impurities.pdf,
54,3.2.S.4,"Control of Drug Substance (name, manufacturer)",m3-2-s-4-control-of-drug-substance,directory,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s4-contr-drug-sub,
55,3.2.S.4.1,"Specification (name, manufacturer)",m3-2-s-4-1-specification,directory,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s4-contr-drug-sub/32s41-spec,
56,3.2.S.4.1,"Specification (name, manufacturer)",m3-2-s-4-1-specification,file,m3/32-body-data/32s-drug-sub/substance-1-manufacturer-1/32s4-contr-drug-sub/32s41-spec/specification.pdf,
