seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
1,,Module 1 EU,m1-eu,directory,m1/eu,Top level directory for the EU Module 1as per ICH eCTD Specification
2,,,,file,m1/eu/eu-regional.xml,The EU Regional XML instance including the envelope information. Note that the operation attribute for the eu.regional.xml should always be set to ‘new’.
3,1.0,Cover Letter,m1-0-cover,directory,m1/eu/10-cover,
4,,,,directory,m1/eu/10-cover/CC,Always use the country directory at this level for all procedures even when only one file is submitted to only one country during the lifecycle of the submission.
5,,,,file,m1/eu/10-cover/CC/CC-cover-VAR.EXT,"Filename for the Cover Letter composed of a fixed component “CC”, a fixed component “cover” and an optional variable component if required (e.g. fr-cover-variationrationale.pdf). When only the cover letter is submitted in this directory the file name should be CC- cover.pdf. Single document correspondences e.g. Letter of Undertakings should be placed here."
6,,,,file,m1/eu/10-cover/CC/CC-tracking-VAR.EXT,"A tracking table should always be included in addition to the cover letter for submissions within all procedures, except for EDQM submissions. The file should be named cc-tracking-var.pdf and be placed in /XXXX/m1/eu/10-cover/cc (e.g. ema- tracking-var.pdf for a CP, common-tracking-var.pdf in an MRP/DCP, or be-tracking-var.pdf in a NP.)"
7,1.2,Application Form,m1-2-form,directory,m1/eu/12-form,"The Application Form refers to any form (new applications, applications for variations or renewals)."
8,,,,directory,m1/eu/12-form/CC,Always use the country directory at this level for all procedures even when only one file is submitted to only one country during the lifecycle of the submission.
9,,,,file,m1/eu/12-form/CC/CC-form-eaf-VAR.EXT,"Filename for the Application Form composed of a fixed component “CC”, a fixed component “form-eaf” (there could be country specific exceptions to this file naming, e.g. national forms) and an optional variable component to be used if required (e.g. fr-form-eaf-tablet.pdf). When only the application form is submitted in this directory the file name should be CC–form-eaf.pdf."
10,,,,file,m1/eu/12-form/CC/CC-form-annex-VAR.EXT,"Filenames for the Annexes to the Application Form composed of a fixed component “CC”, a fixed component “form-annex” and an optional variable component to be used if required (e.g. fr-form-annex-01.pdf, fr-form-annex-proofpayment.pdf). Annexes that potentially apply to all EU countries should be placed in the ‘common’ sub-directory (e.g. common-form-annex-12.pdf, common-form-annex- pheurcertificate.pdf). The variable component, if used, should be a logical name and should be added without spaces Supportive documents, which are not part of any M2-5 section or Response to Questions, should be placed here. Any updates to documents originating from M2-5 should replace the outdated version in its original location in M2-5. Supportive documents submitted as answers to questions should be placed in Module 1 Responses to Questions (see line 67-69)."
11,1.3,Product Information,m1-3-pi,directory,m1/eu/13-pi,General placeholder for Product Information
12,1.3.1,"SmPC, Labelling and Package Leaflet",m1-3-1-spc-label-pl,directory,m1/eu/13-pi/131-spclabelpl,"General placeholder for SmPC, Labelling, Package Leaflet or Combined PI"
13,,,,directory,m1/eu/13-pi/131-spclabelpl/CC,Always use the country directory at this level for all procedures even when only one file is submitted to only one country during the lifecycle of the submission.
14,,,,directory,m1/eu/13-pi/131-spclabelpl/CC/LL,Always use a language directory at this level during the lifecycle of the submission. See Row 13 for an example.
